review,rating,source,date,bank
will good updating,5,Google Play,2025-10-09 00:00:00,CBE
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,Google Play,2025-10-08 00:00:00,CBE
why removing screenshot feature why?,2,Google Play,2025-10-08 00:00:00,CBE
very good application! thank you all who participate!,5,Google Play,2025-10-08 00:00:00,CBE
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,Google Play,2025-10-08 00:00:00,CBE
user compatible app!,5,Google Play,2025-10-08 00:00:00,CBE
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,Google Play,2025-10-07 00:00:00,CBE
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,Google Play,2025-10-07 00:00:00,CBE
Our Commercial Bank of Ethiopia is Good !,5,Google Play,2025-10-06 00:00:00,CBE
Asledin Ibsa,5,Google Play,2025-10-06 00:00:00,CBE
terrible when showing history of transaction it shows in disorganised way,3,Google Play,2025-10-05 00:00:00,CBE
my bank,5,Google Play,2025-10-05 00:00:00,CBE
Data,5,Google Play,2025-10-04 00:00:00,CBE
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,Google Play,2025-10-04 00:00:00,CBE
excellent app with lots of features,5,Google Play,2025-10-04 00:00:00,CBE
very good 👍 mobile banking,5,Google Play,2025-10-04 00:00:00,CBE
so special,5,Google Play,2025-10-04 00:00:00,CBE
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,Google Play,2025-10-03 00:00:00,CBE
woow cbe,5,Google Play,2025-10-03 00:00:00,CBE
cbe the best bank app,4,Google Play,2025-10-03 00:00:00,CBE
This App CBE bank it's Simple and Smart I Like it.,5,Google Play,2025-10-03 00:00:00,CBE
Rijalufaris,5,Google Play,2025-10-02 00:00:00,CBE
its Best app But i hate the Repeatedly update request,5,Google Play,2025-10-02 00:00:00,CBE
good app,5,Google Play,2025-10-02 00:00:00,CBE
imoo,3,Google Play,2025-10-02 00:00:00,CBE
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,Google Play,2025-10-02 00:00:00,CBE
screen shoot always not allowed why?,5,Google Play,2025-10-02 00:00:00,CBE
enkorabetalen,5,Google Play,2025-10-01 00:00:00,CBE
good,5,Google Play,2025-10-01 00:00:00,CBE
Gamada mahamadi,1,Google Play,2025-10-01 00:00:00,CBE
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,Google Play,2025-09-30 00:00:00,CBE
verfcasencod,5,Google Play,2025-09-30 00:00:00,CBE
you can't get your own transaction history,1,Google Play,2025-09-29 00:00:00,CBE
sintu,5,Google Play,2025-09-29 00:00:00,CBE
BEST,5,Google Play,2025-09-28 00:00:00,CBE
Bank of Ethiopia,5,Google Play,2025-09-28 00:00:00,CBE
"All most Good, but need improvement",5,Google Play,2025-09-27 00:00:00,CBE
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,Google Play,2025-09-27 00:00:00,CBE
poor app all of you guys delete CBE and download BOA,1,Google Play,2025-09-27 00:00:00,CBE
niceapp,5,Google Play,2025-09-27 00:00:00,CBE
good,5,Google Play,2025-09-26 00:00:00,CBE
good,5,Google Play,2025-09-25 00:00:00,CBE
good,5,Google Play,2025-09-25 00:00:00,CBE
the best app of all,5,Google Play,2025-09-25 00:00:00,CBE
❤️,5,Google Play,2025-09-25 00:00:00,CBE
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,Google Play,2025-09-24 00:00:00,CBE
Juhaar,5,Google Play,2025-09-24 00:00:00,CBE
I am using CBE app very fantastic.,5,Google Play,2025-09-24 00:00:00,CBE
bist app tankyou,4,Google Play,2025-09-23 00:00:00,CBE
this is very useful and consistent app,5,Google Play,2025-09-23 00:00:00,CBE
"this application provides timely service in a good, fast and reliable manner.",5,Google Play,2025-09-23 00:00:00,CBE
So good,5,Google Play,2025-09-23 00:00:00,CBE
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,Google Play,2025-09-23 00:00:00,CBE
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,Google Play,2025-09-22 00:00:00,CBE
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,Google Play,2025-09-22 00:00:00,CBE
