review,rating,source,date,bank
ቆንጆ ነው በርቱ,5,Google Play,2025-06-11 00:00:00,BoA
the worst app humans ever created,1,Google Play,2025-06-09 00:00:00,BoA
it's not working,3,Google Play,2025-06-05 00:00:00,BoA
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,Google Play,2025-06-03 00:00:00,BoA
exceptional,5,Google Play,2025-06-03 00:00:00,BoA
BoA Mobile good bank,5,Google Play,2025-06-02 00:00:00,BoA
this is worest app 24/7 loading,1,Google Play,2025-06-01 00:00:00,BoA
BoA system is confartable,5,Google Play,2025-06-01 00:00:00,BoA
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,Google Play,2025-05-27 00:00:00,BoA
Good service.,3,Google Play,2025-05-25 00:00:00,BoA
the app crush frequently,1,Google Play,2025-05-24 00:00:00,BoA
good,5,Google Play,2025-05-22 00:00:00,BoA
You guys keeps getting worst,1,Google Play,2025-05-22 00:00:00,BoA
good,5,Google Play,2025-05-21 00:00:00,BoA
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,Google Play,2025-05-21 00:00:00,BoA
BoA,2,Google Play,2025-05-20 00:00:00,BoA
good,5,Google Play,2025-05-20 00:00:00,BoA
but not opening on android,4,Google Play,2025-05-19 00:00:00,BoA
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,Google Play,2025-05-18 00:00:00,BoA
amazing,5,Google Play,2025-05-18 00:00:00,BoA
excellent,5,Google Play,2025-05-15 00:00:00,BoA
"this app does no work on Samsung a51, it just gives a preview of the logo",1,Google Play,2025-05-11 00:00:00,BoA
nice,5,Google Play,2025-05-10 00:00:00,BoA
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,Google Play,2025-05-10 00:00:00,BoA
Best app,5,Google Play,2025-05-09 00:00:00,BoA
liking this application good 👍,5,Google Play,2025-05-07 00:00:00,BoA
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,Google Play,2025-05-06 00:00:00,BoA
good,5,Google Play,2025-05-06 00:00:00,BoA
