review,rating,source,date,bank
simple and easy to use,5,Google Play,2025-09-08 00:00:00,Dashen
meke,4,Google Play,2025-09-07 00:00:00,Dashen
"not a great app compared to the others ,It freezes randomly ,Takes a lot to load ,and a lot of errors while sending money ,I stopped using it",1,Google Play,2025-09-07 00:00:00,Dashen
bad specialy at weekends,1,Google Play,2025-09-07 00:00:00,Dashen
"I am very disappointed with the Dashin Bank Super App. The app does not allow me to withdraw 50 birr or can't transfer money and even I can't use it to buy airtime. This makes me feel like my 50 birr is no longer my money, but the bank’s money, since I cannot access or use it freely. According to the National Bank of Ethiopia (NBE), the rule is that 100 birr is not withdrawable, but it can be used to buy airtime or transferred to friends. Dashin Bank’s restriction goes beyond this rule and unfa",1,Google Play,2025-09-06 00:00:00,Dashen
It is good apps but it needs strong network,5,Google Play,2025-09-06 00:00:00,Dashen
very slow,3,Google Play,2025-09-06 00:00:00,Dashen
The app doesn't allow to switch between accounts. Why is it not possible to use two accounts on the same app even if the accounts have been opened at different branch?,2,Google Play,2025-09-06 00:00:00,Dashen
lacag inaad amaahisan somalida maxaad ku diiden,5,Google Play,2025-09-05 00:00:00,Dashen
Dashin mobile banking is become worest app like others Ethiopian bank apps. Amole was the best app ever I used. It was so flexible & reliable to use. and the best app user can login with new device without go to bank physically.,1,Google Play,2025-09-05 00:00:00,Dashen
"The app has potential, but the QR payment feature is disappointing. The scanner doesn’t work, and even though there’s an option to select a QR code from the gallery, it doesn’t function either. This makes paying with QR codes almost impossible. Fixing this would really improve the app.",3,Google Play,2025-09-04 00:00:00,Dashen
"very slow and failed transaction multiple times, previous app was much better!!",2,Google Play,2025-09-04 00:00:00,Dashen
great 👍,5,Google Play,2025-09-02 00:00:00,Dashen
"""super Idiot app"" 1.it forced me to off many of my phone settings like developers option. 2.Never works fastly. 3.It needs multiple click. 4. Doesn't notify if received money & many many more *** The worst mobile app ever expanded***",1,Google Play,2025-09-01 00:00:00,Dashen
good,2,Google Play,2025-09-01 00:00:00,Dashen
dashin bank,5,Google Play,2025-08-30 00:00:00,Dashen
muhaammad bakko,5,Google Play,2025-08-30 00:00:00,Dashen
goog,5,Google Play,2025-08-29 00:00:00,Dashen
un functional app,1,Google Play,2025-08-29 00:00:00,Dashen
trnes far,5,Google Play,2025-08-27 00:00:00,Dashen
excellent,5,Google Play,2025-08-26 00:00:00,Dashen
shimalis,4,Google Play,2025-08-25 00:00:00,Dashen
አሪፍ ነው ግን ደረሰኙ የተቀባይ አካውንት እና ስም አያሳይም ።,3,Google Play,2025-08-24 00:00:00,Dashen
excellent mobile banking digital,5,Google Play,2025-08-24 00:00:00,Dashen
"Excellent, and it's truly a super app!",5,Google Play,2025-08-24 00:00:00,Dashen
nice app,4,Google Play,2025-08-23 00:00:00,Dashen
very nice app,5,Google Play,2025-08-23 00:00:00,Dashen
can't access as will if it's super and can't even access the service when you need it's a big failure,1,Google Play,2025-08-22 00:00:00,Dashen
seche,1,Google Play,2025-08-22 00:00:00,Dashen
very fast bank,5,Google Play,2025-08-22 00:00:00,Dashen
good and well,5,Google Play,2025-08-22 00:00:00,Dashen
what a bank it is,5,Google Play,2025-08-22 00:00:00,Dashen
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,2,Google Play,2025-08-21 00:00:00,Dashen
great app,5,Google Play,2025-08-20 00:00:00,Dashen
nic,5,Google Play,2025-08-20 00:00:00,Dashen
easy to use and the best one,5,Google Play,2025-08-17 00:00:00,Dashen
it is totally work of failure. I personally prefer dashen amole instead of this super dull app.,1,Google Play,2025-08-16 00:00:00,Dashen
very good app,5,Google Play,2025-08-16 00:00:00,Dashen
The worst banking app in Ethiopia. It forces you to change your PIN every three months.,1,Google Play,2025-08-16 00:00:00,Dashen
አሪፍ,5,Google Play,2025-08-15 00:00:00,Dashen
best but USSD is necessary,5,Google Play,2025-08-15 00:00:00,Dashen
"one step forward, Ethiopian bank and e commerce industry",5,Google Play,2025-08-15 00:00:00,Dashen
still it's essay for user,4,Google Play,2025-08-15 00:00:00,Dashen
"Great app, unfortunately I struggle to use it from outside Ethiopia. It tells me ""VPN enabled please disable VPN to continue using the app"". And that's happening without any VPN enabled. I think I will need to switch back to CBE because I need access to my bank account globally.",1,Google Play,2025-08-15 00:00:00,Dashen
"It was easy enough before. but now it won't even open , why? pls help if possible. The email address you provided under the App support also can't be found by Gmail. pls respond.",3,Google Play,2025-08-14 00:00:00,Dashen
good,5,Google Play,2025-08-14 00:00:00,Dashen
"There are plenty of features missed e. g electricity bill, water bill payments",2,Google Play,2025-08-14 00:00:00,Dashen
የሶፍትዌሩ ለአጠቃቀም ምቹና ቀላል መሆኑ ተመራጭ ያደርገዋል,5,Google Play,2025-08-14 00:00:00,Dashen
በጣም ችግር አለበት,1,Google Play,2025-08-14 00:00:00,Dashen
best,5,Google Play,2025-08-14 00:00:00,Dashen
great 👍 app,5,Google Play,2025-08-13 00:00:00,Dashen
"its a very low quality and slow application, very unreliable in times of need",1,Google Play,2025-08-13 00:00:00,Dashen
ok,5,Google Play,2025-08-13 00:00:00,Dashen
ok,5,Google Play,2025-08-13 00:00:00,Dashen
very poor and time taking to use,1,Google Play,2025-08-13 00:00:00,Dashen
it is the best app ever i have seen Dashen bank always one step a head!!!!,5,Google Play,2025-08-13 00:00:00,Dashen
the new version is so good I like it,5,Google Play,2025-08-13 00:00:00,Dashen
excellent,5,Google Play,2025-08-13 00:00:00,Dashen
good,3,Google Play,2025-08-13 00:00:00,Dashen
Good,3,Google Play,2025-08-12 00:00:00,Dashen
good job my dashen super app,5,Google Play,2025-08-12 00:00:00,Dashen
Some connection issues,3,Google Play,2025-08-12 00:00:00,Dashen
verry slow app 🤢,1,Google Play,2025-08-12 00:00:00,Dashen
best bauget app,5,Google Play,2025-08-12 00:00:00,Dashen
its good but he said uptede me 😠🤕,2,Google Play,2025-08-12 00:00:00,Dashen
network issue,1,Google Play,2025-08-12 00:00:00,Dashen
እንጠቀምበት,5,Google Play,2025-08-12 00:00:00,Dashen
nice,5,Google Play,2025-08-12 00:00:00,Dashen
fast and easy to use great App.,5,Google Play,2025-08-12 00:00:00,Dashen
Best Performing and Fast Financial app,5,Google Play,2025-08-12 00:00:00,Dashen
good,5,Google Play,2025-08-12 00:00:00,Dashen
well done keep it up,5,Google Play,2025-08-12 00:00:00,Dashen
good but it takes forever to load,3,Google Play,2025-08-12 00:00:00,Dashen
"It's very good, but there are some things that need to be improved by (speed & receipt view) to be competitive with the companies in the country, i.e.cbe&telebirr.",4,Google Play,2025-08-12 00:00:00,Dashen
my favorite 💗💗💗,5,Google Play,2025-08-11 00:00:00,Dashen
Good app,5,Google Play,2025-08-11 00:00:00,Dashen
Good,5,Google Play,2025-08-11 00:00:00,Dashen
"This is boring Mobile banking app, it is not work properly .so slow!",1,Google Play,2025-08-11 00:00:00,Dashen
"improve the app, please. it is not working. It says response timeout",1,Google Play,2025-08-10 00:00:00,Dashen
modern perfect app interface with the best banking tools 👏,5,Google Play,2025-08-09 00:00:00,Dashen
when i tried to open the app it re-downloading something big 3GB 4GB size and after 3 hours late it will open. it's my experience Very worst app it isn't lite app not works in every situation of networks.,1,Google Play,2025-08-08 00:00:00,Dashen
"poor, glitch stack",1,Google Play,2025-08-07 00:00:00,Dashen
slowest banking app ever used,3,Google Play,2025-08-07 00:00:00,Dashen
Good,1,Google Play,2025-08-06 00:00:00,Dashen
Good 👍,5,Google Play,2025-08-05 00:00:00,Dashen
Dashen Bank super app is the best app,5,Google Play,2025-08-05 00:00:00,Dashen
best,5,Google Play,2025-08-02 00:00:00,Dashen
would most likely rate it even less but it does have it's perks. But for the most part the whole app is filled with bugs and it stops being responsive almost everytime. Besides some new features and the new UI design I most definitely prefer the old amole Version. either fix this mess or bring back Amole,2,Google Play,2025-08-01 00:00:00,Dashen
sometimes is not working to be honest,1,Google Play,2025-08-01 00:00:00,Dashen
ok,4,Google Play,2025-08-01 00:00:00,Dashen
very good app,5,Google Play,2025-07-30 00:00:00,Dashen
Why isn't this app working?,5,Google Play,2025-07-29 00:00:00,Dashen
network error,5,Google Play,2025-07-29 00:00:00,Dashen
fast,5,Google Play,2025-07-29 00:00:00,Dashen
100 good,5,Google Play,2025-07-29 00:00:00,Dashen
ok,5,Google Play,2025-07-29 00:00:00,Dashen
